pb_1,pb_2,pb_3,v_1,v_2,v_3
0.66961,-0.0037694,0.76402,-0.54866,-0.14174,0.012309
0.66904,-0.0039074,0.76401,-0.58331,-0.13421,-0.035095
0.66844,-0.0040375,0.76395,-0.61952,-0.12611,-0.081027
0.6678,-0.0041595,0.76385,-0.65741,-0.1178,-0.1254
0.66712,-0.0042732,0.7637,-0.69698,-0.10967,-0.16819
0.66641,-0.0043791,0.76351,-0.73815,-0.10205,-0.20946
0.66565,-0.0044777,0.76328,-0.78073,-0.095277,-0.24935
0.66484,-0.0045702,0.76301,-0.82448,-0.089612,-0.28806
0.664,-0.0046576,0.76271,-0.86908,-0.085263,-0.32582
0.6631,-0.0047414,0.76236,-0.91417,-0.082363,-0.36292
0.66217,-0.0048231,0.76198,-0.95936,-0.08097,-0.39966
0.66119,-0.0049041,0.76156,-1.0042,-0.08106,-0.43636
0.66016,-0.0049859,0.76111,-1.0485,-0.082533,-0.47331
0.65909,-0.0050698,0.76062,-1.0916,-0.08522,-0.51079
0.65798,-0.0051569,0.76009,-1.1334,-0.088889,-0.54902
0.65682,-0.0052479,0.75952,-1.1737,-0.093265,-0.5882
0.65563,-0.0053436,0.75891,-1.2122,-0.098039,-0.62843
0.6544,-0.005444,0.75826,-1.2489,-0.10288,-0.66977
0.65313,-0.0055492,0.75757,-1.2837,-0.10748,-0.71221
0.65183,-0.0056587,0.75683,-1.3169,-0.11152,-0.75566
0.6505,-0.0057719,0.75606,-1.3484,-0.11473,-0.8
0.64914,-0.0058877,0.75523,-1.3786,-0.1169,-0.84502
0.64774,-0.006005,0.75437,-1.4077,-0.11784,-0.89048
0.64632,-0.0061227,0.75345,-1.4361,-0.11746,-0.93614
0.64487,-0.0062393,0.75249,-1.464,-0.11572,-0.98169
0.64339,-0.0063535,0.75149,-1.4919,-0.11267,-1.0269
0.64189,-0.006464,0.75044,-1.52,-0.1084,-1.0714
0.64035,-0.0065697,0.74935,-1.5486,-0.10308,-1.115
0.63879,-0.0066697,0.74821,-1.578,-0.096911,-1.1576
0.6372,-0.0067633,0.74703,-1.6084,-0.090157,-1.1989
0.63557,-0.0068499,0.74581,-1.6399,-0.08309,-1.2388
0.63392,-0.0069294,0.74456,-1.6725,-0.075998,-1.2773
0.63223,-0.007002,0.74326,-1.7062,-0.069162,-1.3145
0.6305,-0.007068,0.74193,-1.7409,-0.062846,-1.3503
0.62875,-0.0071281,0.74056,-1.7765,-0.057282,-1.3849
0.62695,-0.0071831,0.73916,-1.8126,-0.052655,-1.4185
0.62512,-0.0072339,0.73772,-1.8492,-0.049103,-1.4513
0.62325,-0.0072818,0.73626,-1.8858,-0.046702,-1.4835
